LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
28h         Normal    Pulling                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Pulling image "eshghos/kubernetes-salary-service:latest"
28h         Normal    Pulled                    pod/employee-salary-deployment-79f69bf76f-zjzfb   Successfully pulled image "eshghos/kubernetes-salary-service:latest" in 606.54554ms
28h         Normal    Started                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Started container kubernetes-secret
28h         Normal    Created                   pod/employee-salary-deployment-79f69bf76f-zjzfb   Created container kubernetes-secret
28h         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-ggh8l           Pulling image "eshghos/kubernetes-secret:latest"
28h         Normal    Created                   pod/employee-deployment-94fd8c7cb-ggh8l           Created container kubernetes-secret
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-ggh8l           Successfully pulled image "eshghos/kubernetes-secret:latest" in 737.886983ms
28h         Normal    Started                   pod/employee-deployment-94fd8c7cb-ggh8l           Started container kubernetes-secret
28h         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-l59q8           Pulling image "eshghos/kubernetes-secret:latest"
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-l59q8           Successfully pulled image "eshghos/kubernetes-secret:latest" in 745.664013ms
28h         Normal    Created                   pod/employee-deployment-94fd8c7cb-l59q8           Created container kubernetes-secret
28h         Normal    Started                   pod/employee-deployment-94fd8c7cb-l59q8           Started container kubernetes-secret
28h         Normal    Pulling                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Pulling image "eshghos/kubernetes-salary-service:latest"
28h         Normal    Started                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Started container kubernetes-secret
28h         Normal    Pulled                    pod/employee-salary-deployment-79f69bf76f-sn4ps   Successfully pulled image "eshghos/kubernetes-salary-service:latest" in 494.564521ms
28h         Normal    Created                   pod/employee-salary-deployment-79f69bf76f-sn4ps   Created container kubernetes-secret
27h         Normal    NodeHasSufficientMemory   node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasSufficientMemory
27h         Normal    NodeHasSufficientMemory   node/workervm-centos                              Node workervm-centos status is now: NodeHasSufficientMemory
27h         Normal    Starting                  node/workervm-centos-2                            Starting kubelet.
27h         Normal    Starting                  node/workervm-centos                              Starting kubelet.
27h         Normal    NodeHasNoDiskPressure     node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasNoDiskPressure
27h         Normal    NodeHasSufficientPID      node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasSufficientPID
27h         Normal    NodeHasSufficientPID      node/workervm-centos                              Node workervm-centos status is now: NodeHasSufficientPID
27h         Normal    NodeHasNoDiskPressure     node/workervm-centos                              Node workervm-centos status is now: NodeHasNoDiskPressure
27h         Normal    NodeAllocatableEnforced   node/workervm-centos-2                            Updated Node Allocatable limit across pods
27h         Normal    NodeAllocatableEnforced   node/workervm-centos                              Updated Node Allocatable limit across pods
27h         Normal    NodeHasNoDiskPressure     node/mastervm-centos                              Node mastervm-centos status is now: NodeHasNoDiskPressure
27h         Normal    NodeHasSufficientMemory   node/mastervm-centos                              Node mastervm-centos status is now: NodeHasSufficientMemory
27h         Normal    NodeAllocatableEnforced   node/mastervm-centos                              Updated Node Allocatable limit across pods
27h         Normal    Starting                  node/mastervm-centos                              Starting kubelet.
